feature,importance,std
TG（甘油三酯）,0.21449579831932758,0.02745274417838736
TC（总胆固醇）,0.1730346977500677,0.013826082326056576
HDL-C（高密度脂蛋白）,0.01778259690973155,0.0043688910328288505
LDL-C（低密度脂蛋白）,0.014048522634860283,0.0045362807520124004
血尿酸,0.011107346164272025,0.0019190608791608184
气虚质,0.004127134724857584,0.002046232362562321
血瘀质,0.0028395229059364536,0.001662884405482842
tanshi_BMI,0.002548116020601676,0.0009680304329449121
平和质,0.0023515857956084574,0.001838540541767427
dominant_tizhi,0.002202493900786029,0.0012330427941885493
性别_1,0.002080509623204008,0.001250352619335392
吸烟史_1,0.0020398481973433525,0.0012230200181244468
年龄组_3,0.001816210355109682,0.0006916427661790817
阴虚质,0.0015044727568446325,0.0014081617908671738
气郁质,0.0014095960965030297,0.0020679665482683535
湿热质,0.001402819192192939,0.0012050890868189456
空腹血糖,0.0013553808620221375,0.0009000790304084652
BMI,0.0013214963404716063,0.0009831183865830892
饮酒史_1,0.0013011656275412453,0.0009763447255870033
ADL总分,0.0011995120628895627,0.0011520936646179526
年龄组_4,0.0006370290051503691,0.002036953012510086
IADL总分,0.0003659528327458861,0.0007431146739969068
活动量表总分（ADL总分+IADL总分）,0.00024396855516393146,0.0007492694476056026
年龄组_5,-0.0003049606939550586,0.0009445215413910466
年龄组_2,-0.00030496069395509197,0.0013632362495287892
特禀质,-0.0008064516129033472,0.0012831276872494676
痰湿质,-0.0013757115749526538,0.0017935253624360658
阳虚质,-0.0024193548387097643,0.0013812421630155546
tanshi_activity,-0.003978042830035333,0.0014553944384880465
