feature,shap_importance
TG（甘油三酯）,2.2670147149870097
TC（总胆固醇）,2.034813908319018
血尿酸,0.31793329466337983
LDL-C（低密度脂蛋白）,0.08856747902675334
HDL-C（高密度脂蛋白）,0.0705839596384117
气郁质,0.016511316732392423
空腹血糖,0.006723258667656513
平和质,0.004394586631917038
tanshi_activity,0.003345685261821551
气虚质,0.002195331125503538
阳虚质,0.001936059746233476
痰湿质,0.001236196331824067
BMI,0.0010283312067320331
IADL总分,0.0008246979333490806
活动量表总分（ADL总分+IADL总分）,0.0007910271306268003
湿热质,0.0006323203808293469
血瘀质,0.0005182298626951557
tanshi_BMI,0.0002072697197205223
阴虚质,5.4086939377336494e-05
ADL总分,0.0
特禀质,0.0
dominant_tizhi,0.0
年龄组_2,0.0
年龄组_3,0.0
年龄组_4,0.0
年龄组_5,0.0
性别_1,0.0
吸烟史_1,0.0
饮酒史_1,0.0
