S0,age_group,A0,c,s,f,S0_c,S0_s,A0_s,S6
58,2,63,3,3,10,174,174,189,24.640645364389684
62,4,42,1,1,1,62,62,42,56.282796803621856
56,3,55,2,2,4,112,112,110,38.508989439434586
62,4,44,1,1,2,62,62,44,58.86215917185091
57,3,30,3,1,7,171,57,30,40.416280863140045
64,5,62,3,1,4,192,64,62,55.17704293274511
63,3,57,2,1,7,126,63,57,52.40812085687858
63,2,39,3,1,9,189,63,39,41.508152785222904
59,3,52,1,2,3,59,118,104,39.26071744251344
60,5,35,3,1,10,180,60,35,35.02123902512488
63,1,56,1,1,6,63,63,56,54.491105673901714
63,5,68,1,1,5,63,63,68,57.70208945761007
64,2,48,1,2,4,64,128,96,50.93709147497993
60,4,60,2,2,4,120,120,120,45.90338014316074
59,4,44,2,2,3,118,118,88,40.283108141501806
59,5,74,3,1,10,177,59,74,35.651890629276956
60,4,60,3,1,6,180,60,60,45.99075539308625
58,3,57,3,1,2,174,58,57,51.16314431842389
59,4,44,1,2,9,59,118,88,35.9475195118869
59,1,63,2,1,6,118,59,63,45.636045310390365
62,5,42,1,1,3,62,62,42,62.0
61,1,57,3,2,10,183,122,114,30.74381414845273
64,2,63,2,2,6,128,128,126,43.66556885222599
56,1,63,3,3,3,168,168,189,32.355529273108495
56,1,33,1,1,7,56,56,33,44.449484555632765
62,2,52,3,1,10,186,62,52,42.291878208518966
58,1,60,2,3,1,116,174,180,34.784035579972375
64,4,63,2,1,5,128,64,63,56.45407621270883
60,3,52,1,1,3,60,60,52,57.57074155001554
61,4,73,1,2,9,61,122,146,36.56438464813907
63,1,51,3,1,3,189,63,51,48.057114227946876
62,2,68,2,3,1,124,186,204,33.218741322433054
58,2,45,2,2,3,116,116,90,48.10787415883332
56,1,33,2,1,9,112,56,33,39.19445616238703
58,3,43,1,1,10,58,58,43,37.348319394726765
59,5,51,3,1,8,177,59,51,37.343617994698654
58,1,59,3,1,9,174,58,59,36.150866533871174
65,2,48,3,2,5,195,130,96,45.99090182569381
64,2,63,1,1,5,64,64,63,62.908900429075885
64,3,42,3,2,9,192,128,84,33.23481375693335
57,1,58,2,2,1,114,114,116,40.67426676674506
55,3,51,1,2,2,55,110,102,43.407458426428335
61,1,57,2,2,5,122,122,114,43.65011130927658
59,3,65,3,2,9,177,118,130,30.728049159817413
55,3,51,1,1,9,55,55,51,47.20640301830075
59,4,44,2,1,2,118,59,44,47.499513349135164
63,3,47,1,1,7,63,63,47,52.25331476996263
59,4,54,1,2,7,59,118,108,45.00195715037617
61,4,74,2,2,10,122,122,148,31.376851233165453
58,2,48,1,1,4,58,58,48,45.503451715610844
58,2,64,1,2,10,58,116,128,35.62356821628932
61,5,26,3,1,4,183,61,26,47.39934916942651
56,2,54,2,2,5,112,112,108,38.353685960692246
59,4,62,2,2,2,118,118,124,42.24773483704195
58,4,64,2,1,9,116,58,64,43.49201137370548
58,5,40,2,1,1,116,58,40,50.80312136665435
57,4,50,2,1,5,114,57,50,50.90972552705924
59,1,63,2,2,10,118,118,126,25.230733491133822
61,3,43,2,2,9,122,122,86,32.8444014961361
61,4,39,2,1,1,122,61,39,47.1674003453569
63,1,65,3,3,8,189,189,195,23.817172740157396
57,4,42,2,1,1,114,57,42,48.408667170992906
58,3,54,3,1,6,174,58,54,41.52439877660731
55,1,54,2,2,5,110,110,108,41.22851252253451
63,1,51,2,2,1,126,126,102,50.210991556070454
62,1,57,3,1,5,186,62,57,58.07433232919221
55,2,54,2,2,4,110,110,108,42.93111735325841
63,1,35,1,1,9,63,63,35,47.332811027165896
59,4,61,1,2,2,59,118,122,45.76647597273971
62,4,42,3,2,9,186,124,84,32.975583675687936
64,2,49,1,1,10,64,64,49,39.99343361644174
62,3,54,2,1,1,124,62,54,55.9181256152138
58,3,57,3,1,6,174,58,57,47.204871175332386
63,1,56,2,1,1,126,63,56,53.025483725244804
62,1,57,2,1,10,124,62,57,40.696105517576285
61,1,62,1,2,7,61,122,124,49.95543763852902
56,1,33,3,1,3,168,56,33,50.11153142341974
62,3,51,1,2,2,62,124,102,47.4597043583584
58,3,50,1,2,5,58,116,100,43.908309154520936
62,4,52,1,1,2,62,62,52,58.62568953096386
64,4,48,3,2,3,192,128,96,35.40397120107042
61,3,77,2,1,3,122,61,77,58.41616370790647
61,3,45,1,1,10,61,61,45,44.5736751145587
63,3,44,3,2,5,189,126,88,42.12509943356161
58,4,64,1,2,8,58,116,128,33.49479928348264
56,1,64,2,1,7,112,56,64,43.21192908563568
58,1,59,1,1,4,58,58,59,57.40035889573973
56,4,44,2,2,8,112,112,88,30.99095420145797
61,2,49,1,1,4,61,61,49,58.5982014761664
57,5,51,2,1,5,114,57,51,57.0
58,3,51,2,1,5,116,58,51,50.239671210438765
58,2,63,1,3,6,58,174,189,35.305876673342354
65,4,40,3,1,4,195,65,40,62.773015917782025
55,3,51,1,2,1,55,110,102,41.451738124756446
58,3,43,3,2,4,174,116,86,38.50044121942276
59,5,66,3,1,7,177,59,66,41.05294134817318
61,4,43,3,1,10,183,61,43,32.856007139808156
60,1,43,1,2,4,60,120,86,47.61740628228769
55,1,54,3,1,8,165,55,54,38.22687517411571
60,5,56,2,1,9,120,60,56,41.18374126794434
57,4,60,2,1,1,114,57,60,45.8261519760829
63,1,65,2,1,1,126,63,65,57.49381116943895
62,2,45,1,1,8,62,62,45,47.43511012619208
59,3,61,1,2,8,59,118,122,36.55782040275722
63,5,44,1,1,1,63,63,44,45.279366140816435
57,1,58,3,1,7,171,57,58,41.96418506195148
56,1,51,3,2,1,168,112,102,43.37138005770979
62,5,46,2,1,8,124,62,46,51.133113183132295
57,4,60,2,1,6,114,57,60,45.049332964654056
64,4,48,3,1,6,192,64,48,46.78817445465574
62,1,64,1,2,3,62,124,128,52.9699908960198
62,2,36,2,1,5,124,62,36,55.94316935957906
58,1,45,1,1,5,58,58,45,52.14739645935252
65,4,40,3,2,8,195,130,80,34.25554579659052
64,5,35,1,1,8,64,64,35,42.66096718915072
56,4,44,2,1,9,112,56,44,35.23836343006768
58,2,49,2,2,10,116,116,98,29.325812058847607
60,2,41,1,2,7,60,120,82,37.269346278728754
64,5,51,1,1,6,64,64,51,51.353527246693226
61,3,61,3,1,4,183,61,61,52.919560416221536
64,3,42,2,2,6,128,128,84,42.42325995402195
58,4,39,2,1,8,116,58,39,45.63805893947142
56,4,57,3,2,4,168,112,114,35.439758494389324
57,4,42,3,1,3,171,57,42,46.07100680563103
58,2,49,3,2,8,174,116,98,39.05207867787046
62,1,64,2,1,10,124,62,64,42.095755234229244
62,4,44,2,2,3,124,124,88,47.691653041343194
58,1,60,2,1,2,116,58,60,42.04026674986145
65,3,65,1,1,5,65,65,65,61.04454759869139
57,5,51,2,1,8,114,57,51,39.617127978875175
63,5,47,2,1,2,126,63,47,63.0
59,4,54,2,1,10,118,59,54,34.19985627681223
65,1,47,1,1,1,65,65,47,58.09596949584072
65,3,65,1,2,9,65,130,130,41.878434352492334
61,4,49,1,1,9,61,61,49,47.21499496188887
59,5,74,3,1,2,177,59,74,48.357215161218136
60,1,63,3,2,6,180,120,126,38.27106999506372
62,3,44,3,1,4,186,62,44,62.0
59,1,51,1,2,3,59,118,102,50.107494542036235
62,2,44,1,2,1,62,124,88,48.68650833178358
58,3,53,1,1,7,58,58,53,43.691705003713125
62,2,68,2,3,7,124,186,204,31.963500019194846
64,2,38,2,1,2,128,64,38,56.08430872272192
55,2,56,2,2,2,110,110,112,39.25688144137041
62,4,50,3,1,10,186,62,50,39.23839009836955
56,3,55,3,2,1,168,112,110,39.813551655918175
64,1,38,1,1,9,64,64,38,40.91157355006693
62,4,44,2,2,6,124,124,88,41.30877274033153
58,3,51,1,1,10,58,58,51,45.43292620007727
62,3,51,3,1,3,186,62,51,54.13269237695951
64,2,63,2,1,8,128,64,63,47.75862048326305
59,4,48,1,2,10,59,118,96,36.59738056280613
62,4,42,3,2,8,186,124,84,33.09735953814762
61,3,61,1,2,8,61,122,122,40.057708031839894
57,1,50,3,1,1,171,57,50,50.74323536773987
56,3,52,3,1,4,168,56,52,52.04323363484438
57,2,47,1,2,6,57,114,94,38.40496913765238
63,1,34,2,1,4,126,63,34,54.279766018888
61,3,54,2,1,6,122,61,54,46.698290456945365
56,1,51,1,2,6,56,112,102,33.679367412835866
61,4,45,1,1,1,61,61,45,61.0
58,2,63,2,1,4,116,58,63,50.35731437064756
63,3,44,2,1,10,126,63,44,36.52589593294442
61,4,74,1,2,6,61,122,148,43.75620939436603
59,1,63,2,1,7,118,59,63,46.18176610185618
63,4,56,1,1,1,63,63,56,62.58063195062554
57,2,50,1,2,9,57,114,100,32.97125912375728
59,1,42,3,2,8,177,118,84,28.900702428671313
64,4,55,2,2,7,128,128,110,36.57688087541595
63,1,49,1,1,2,63,63,49,58.2960974895468
64,5,51,3,1,7,192,64,51,50.838809400417105
57,1,50,1,2,7,57,114,100,36.236654282963315
64,2,51,2,1,4,128,64,51,57.97054691207179
59,3,65,3,2,4,177,118,130,41.75230282593592
58,2,49,3,2,10,174,116,98,24.232066369869187
61,2,48,1,2,9,61,122,96,35.60554922299151
64,2,42,1,1,6,64,64,42,59.51004605119206
59,3,52,3,2,3,177,118,104,40.667448939647684
62,2,68,1,2,5,62,124,136,44.71167031834547
59,1,42,3,1,8,177,59,42,40.63264146054499
63,3,57,1,2,3,63,126,114,47.56063586664382
64,1,59,1,2,4,64,128,118,47.670361538750235
55,2,56,3,1,5,165,55,56,51.543263592665326
64,3,38,1,1,4,64,64,38,57.939831893994096
63,1,65,3,3,3,189,189,195,33.78234274334909
62,2,52,3,1,5,186,62,52,55.26262565737144
58,3,43,2,2,4,116,116,86,47.78531404445169
61,4,54,1,1,1,61,61,54,56.720875345777266
57,3,61,3,2,2,171,114,122,36.37244218631585
60,2,42,1,2,1,60,120,84,50.436842681333744
57,1,50,1,1,6,57,57,50,48.406899826275136
61,2,48,1,2,1,61,122,96,48.542374558800226
58,2,49,2,2,8,116,116,98,32.182484504807256
61,4,45,3,2,9,183,122,90,29.10580192942246
64,4,63,1,1,1,64,64,63,64.0
55,3,28,2,1,8,110,55,28,41.63864942669398
64,2,51,2,2,1,128,128,102,40.16612314766579
59,3,65,3,1,1,177,59,65,47.78199026945322
56,1,63,3,3,5,168,168,189,30.41661084030371
65,4,57,3,2,6,195,130,114,41.05093116104349
64,4,55,3,2,4,192,128,110,42.82238349472453
59,4,54,3,2,3,177,118,108,43.21807696545104
59,4,48,2,1,9,118,59,48,37.847424185457456
58,3,43,3,2,9,174,116,86,29.59404511592074
55,2,56,1,2,7,55,110,112,33.85457366030268
58,2,49,3,2,7,174,116,98,34.28953446877892
60,5,41,1,1,4,60,60,41,60.0
61,3,61,2,1,5,122,61,61,52.742051651509016
63,4,56,1,1,9,63,63,56,42.16234854458487
61,3,54,2,2,1,122,122,108,39.61228474105156
62,3,58,2,1,8,124,62,58,40.304757989070346
57,2,47,3,1,6,171,57,47,51.26958590436907
60,2,47,1,2,9,60,120,94,43.86711365712071
55,3,51,3,1,3,165,55,51,43.95684996809852
61,4,43,2,1,1,122,61,43,52.164670689180355
62,5,46,3,1,9,186,62,46,31.800758058363982
58,1,47,2,1,1,116,58,47,49.82222052528625
59,3,65,2,2,9,118,118,130,28.266977514337643
60,1,43,1,2,2,60,120,86,43.46246618682515
61,3,61,1,1,6,61,61,61,55.82136226764651
56,1,63,3,2,4,168,112,126,31.591496871158064
62,4,52,3,1,7,186,62,52,39.417546082776624
61,4,43,3,1,6,183,61,43,44.904502110239235
63,1,49,2,2,8,126,126,98,35.46303532800323
61,2,35,2,1,3,122,61,35,55.3842654755992
56,4,57,1,2,9,56,112,114,34.496599726127556
63,1,56,3,1,10,189,63,56,36.82388796827229
62,5,54,2,1,9,124,62,54,44.56240468715526
62,1,57,3,2,3,186,124,114,43.37982490237591
58,1,45,3,1,7,174,58,45,36.34858927271146
56,2,56,1,1,1,56,56,56,50.02041240602013
59,1,59,1,1,10,59,59,59,42.29302487956335
61,3,77,1,1,4,61,61,77,46.62151105584803
56,4,44,3,2,3,168,112,88,32.41215101462031
62,5,42,1,1,5,62,62,42,50.97206912332988
60,4,42,3,2,2,180,120,84,40.07479789285358
58,3,57,1,2,1,58,116,114,47.08036464769108
60,5,41,1,1,4,60,60,41,59.42021449667388
61,1,57,2,2,9,122,122,114,32.91797770626546
59,1,37,3,1,5,177,59,37,51.23883103615967
65,2,58,3,1,10,195,65,58,33.39687171339179
59,2,50,1,1,7,59,59,50,48.8293542351945
58,1,60,1,3,10,58,174,180,21.536496220710852
62,3,51,1,2,6,62,124,102,32.88403459923121
59,3,65,3,1,1,177,59,65,49.48189328660157
61,3,45,2,1,9,122,61,45,40.631329309004144
55,5,65,2,1,1,110,55,65,46.51974063509425
61,4,49,2,2,7,122,122,98,36.33971461177566
63,2,39,2,1,5,126,63,39,61.39047468071986
56,1,64,1,2,9,56,112,128,34.6554605383723
61,4,48,1,1,1,61,61,48,57.520728002845615
61,3,66,2,1,4,122,61,66,48.09814956704999
64,4,30,3,1,9,192,64,30,38.96436109937397
56,2,51,3,2,5,168,112,102,36.827162924077754
58,2,49,3,1,8,174,58,49,38.99935147322747
59,4,54,2,2,4,118,118,108,44.9575065337662
59,2,58,3,1,6,177,59,58,50.75232048092397
57,4,50,3,2,5,171,114,100,37.29184274783493
63,3,44,3,1,8,189,63,44,37.61954773247785
58,3,57,2,2,2,116,116,114,44.72618237218685
59,5,39,1,1,7,59,59,39,41.79156223559119
56,4,44,3,2,3,168,112,88,34.094776388231516
61,2,55,3,2,9,183,122,110,30.747126715874025
61,3,50,3,1,4,183,61,50,50.482218296029224
55,3,51,2,2,3,110,110,102,39.50287654099191
63,1,51,2,2,10,126,126,102,33.707560322991085
64,4,63,3,2,6,192,128,126,43.00924819767544
65,2,58,3,2,10,195,130,116,32.85695293999066
63,1,51,3,2,5,189,126,102,41.07174117388824
59,2,33,1,1,7,59,59,33,47.89711769720268
55,1,40,2,1,7,110,55,40,43.19672742736056
61,3,61,3,2,3,183,122,122,39.48953708928912
60,2,58,2,2,6,120,120,116,45.009711696132584
62,2,36,2,1,5,124,62,36,62.0
64,4,48,2,2,8,128,128,96,36.399010808545285
62,5,46,1,1,8,62,62,46,48.64604041556839
61,4,59,1,2,2,61,122,118,46.08586389280686
61,2,55,1,2,3,61,122,110,45.62096155935467
60,1,63,1,3,8,60,180,189,35.567732358048836
58,1,42,1,2,10,58,116,84,29.400902698093347
62,2,44,3,2,1,186,124,88,48.60073703118114
61,4,55,2,2,5,122,122,110,44.39328834169363
61,3,66,2,2,3,122,122,132,53.920092434177505
62,2,45,3,2,6,186,124,90,38.15655128820602
55,1,52,2,1,4,110,55,52,44.17835186312005
59,1,42,1,2,2,59,118,84,44.474955387384
60,3,52,2,2,5,120,120,104,38.97060407111432
58,3,51,3,2,1,174,116,102,40.4395216667225
64,2,51,3,2,1,192,128,102,39.87339815673599
57,2,41,2,1,2,114,57,41,53.402330586808304
56,3,55,2,2,9,112,112,110,31.208899449368303
61,1,62,1,1,3,61,61,62,59.51594420778069
55,2,53,3,2,4,165,110,106,38.14198622469391
59,1,37,3,1,4,177,59,37,48.43256867278082
58,3,50,3,2,8,174,116,100,35.75933044866028
60,4,43,3,2,4,180,120,86,38.075970241730644
61,2,55,2,1,4,122,61,55,52.83590227915536
63,4,56,1,1,8,63,63,56,43.23235921396472
61,4,48,2,2,1,122,122,96,46.23129453803211
57,1,50,1,1,7,57,57,50,47.478787328666186
56,1,68,3,2,6,168,112,136,35.64301037783062
56,4,42,3,2,8,168,112,84,23.66472867254783
57,3,59,1,1,4,57,57,59,49.61014650179678
62,2,64,3,1,9,186,62,64,41.66033559329006
57,1,50,1,2,1,57,114,100,42.55221071995234
58,3,53,1,1,5,58,58,53,53.08981095040894
63,3,57,2,2,5,126,126,114,50.69667147768118
64,5,39,3,1,10,192,64,39,36.89993484602791
61,4,49,1,2,3,61,122,98,42.75306295955166
55,3,59,2,1,4,110,55,59,41.59066280771697
