cost,reduction,c,s,f,S6_pred
252.0,4.453948974609375,1.0,1.0,1.0,59.546051025390625
540.0,4.725578308105469,1.0,1.0,5.0,59.27442169189453
552.0,7.5328216552734375,2.0,1.0,1.0,56.46717834472656
612.0,7.53314208984375,1.0,1.0,6.0,56.46685791015625
684.0,11.102272033691406,1.0,1.0,7.0,52.897727966308594
756.0,14.909507751464844,1.0,1.0,8.0,49.090492248535156
828.0,18.102970123291016,1.0,1.0,9.0,45.897029876708984
900.0,20.92013931274414,1.0,1.0,10.0,43.07986068725586
1200.0,23.384552001953125,2.0,1.0,10.0,40.615447998046875
1428.0,23.65947723388672,3.0,1.0,9.0,40.34052276611328
1500.0,26.08291244506836,3.0,1.0,10.0,37.91708755493164
