feature,gini_importance,permutation_importance
血尿酸,0.20836589886101275,0.0553333333333334
LDL-C（低密度脂蛋白）,0.0980124376947218,0.031000000000000062
HDL-C（高密度脂蛋白）,0.063655594934613,0.04033333333333339
气郁质_x_血尿酸,0.04985159709883894,0.005666666666666709
阳虚质_x_血尿酸,0.04103542879452316,0.021666666666666713
血瘀质_x_血尿酸,0.029210327805461865,0.011333333333333384
气虚质_x_血尿酸,0.027013190076971536,0.011000000000000055
tanshi_血尿酸,0.022408645952369296,0.0076666666666667105
湿热质_x_血尿酸,0.02197560582097359,0.011333333333333395
阴虚质_x_血尿酸,0.021269097235346517,0.0070000000000000505
特禀质_x_血尿酸,0.021216056498820274,0.013000000000000045
气郁质_x_BMI,0.020170041882909447,0.002000000000000046
平和质_x_血尿酸,0.016197844334677552,0.005333333333333379
气虚质_x_LDL-C（低密度脂蛋白）,0.014536549484513685,0.004666666666666708
血瘀质_x_HDL-C（高密度脂蛋白）,0.011424637145806873,-0.00033333333333331885
湿热质_x_HDL-C（高密度脂蛋白）,0.009775832494808265,0.004333333333333378
气郁质_x_LDL-C（低密度脂蛋白）,0.009422833479040668,0.0070000000000000505
空腹血糖,0.009335575696545346,0.005666666666666731
阳虚质_x_LDL-C（低密度脂蛋白）,0.009055782424173438,0.004000000000000059
气郁质_x_活动量表总分（ADL总分+IADL总分）,0.008495043112683386,0.002000000000000046
阴虚质_x_LDL-C（低密度脂蛋白）,0.008357678375850938,0.00500000000000006
血瘀质_x_BMI,0.008001887775726892,-0.0009999999999999898
血瘀质_x_空腹血糖,0.007918821993594402,0.000666666666666682
气郁质,0.007820401294698133,1.1102230246251566e-17
阴虚质_x_HDL-C（高密度脂蛋白）,0.007563241233591796,0.002000000000000035
tanshi_LDL-C,0.007376118488292284,0.001333333333333364
平和质_x_HDL-C（高密度脂蛋白）,0.007313480996465482,0.003000000000000047
特禀质_x_LDL-C（低密度脂蛋白）,0.0068922129243236385,0.004000000000000059
血瘀质_x_LDL-C（低密度脂蛋白）,0.006839015357267325,0.004666666666666708
阳虚质_x_HDL-C（高密度脂蛋白）,0.006827076601976196,-0.00033333333333331885
特禀质_x_HDL-C（高密度脂蛋白）,0.006635034990531768,0.0010000000000000343
湿热质_x_LDL-C（低密度脂蛋白）,0.006560099444052912,0.003333333333333388
平和质_x_活动量表总分（ADL总分+IADL总分）,0.006161340167507486,0.000666666666666682
气虚质_x_BMI,0.005945349136412404,0.004000000000000048
阴虚质,0.005935945040419069,0.0036666666666667403
气郁质_x_HDL-C（高密度脂蛋白）,0.005895803539590687,0.005000000000000049
气郁质_x_空腹血糖,0.005706228881694229,0.0013333333333333751
血瘀质,0.005688450658913481,-0.00033333333333330774
气虚质_x_活动量表总分（ADL总分+IADL总分）,0.0056230819162238896,0.0053333333333333895
tanshi_空腹血糖,0.005611186566262806,0.00466666666666673
平和质_x_空腹血糖,0.0055911303277747775,0.004000000000000048
阳虚质,0.005494225977262889,0.003000000000000047
tanshi_HDL-C,0.0054480600253913655,0.00466666666666673
湿热质_x_空腹血糖,0.005351668912448339,0.003666666666666729
湿热质,0.005332308792577227,0.005333333333333379
特禀质_x_活动量表总分（ADL总分+IADL总分）,0.005277313978568805,0.002000000000000035
湿热质_x_活动量表总分（ADL总分+IADL总分）,0.005172625996013144,0.001000000000000023
气虚质_x_空腹血糖,0.00511082179128287,0.005000000000000049
湿热质_x_BMI,0.005069948409264946,0.000333333333333341
IADL总分,0.005069256681599384,0.0026666666666667173
平和质_x_LDL-C（低密度脂蛋白）,0.005043707071484844,0.000666666666666682
dominant_tizhi,0.00497648618639353,0.00566666666666672
特禀质_x_BMI,0.004970791171794002,0.0016666666666667052
平和质,0.0049636411487998305,0.000666666666666682
血瘀质_x_活动量表总分（ADL总分+IADL总分）,0.00495622711394864,0.001666666666666694
BMI,0.004818133127021246,0.00466666666666673
阴虚质_x_活动量表总分（ADL总分+IADL总分）,0.004634343851933959,0.002000000000000046
ADL总分,0.004597648551572179,0.0033333333333334103
气虚质_x_HDL-C（高密度脂蛋白）,0.004576098538490249,0.0016666666666667052
阴虚质_x_空腹血糖,0.004425163326119969,0.001333333333333364
阳虚质_x_BMI,0.004421067287667569,0.000666666666666682
阳虚质_x_空腹血糖,0.0043996062540130314,0.003333333333333388
活动量表总分（ADL总分+IADL总分）,0.004320131714146527,0.0
特禀质,0.0043053284481727,0.000333333333333341
tanshi_activity,0.004301623980124349,0.0036666666666667403
阴虚质_x_BMI,0.004276765165681137,0.0016666666666667052
气虚质,0.00413116838645442,0.0026666666666667173
tanshi_BMI,0.003994206842738553,0.000666666666666682
阳虚质_x_活动量表总分（ADL总分+IADL总分）,0.003933822804518785,-0.0013333333333333196
平和质_x_BMI,0.0033655866841691105,0.000666666666666682
特禀质_x_空腹血糖,0.0032016464950925952,0.001333333333333364
痰湿质,0.003053370192568709,0.0
年龄组_5,0.0009531508029629556,0.0033333333333334103
吸烟史_1,0.0008943648657005819,0.0
年龄组_4,0.0006853149288328415,0.0
年龄组_2,0.0006298291003356897,0.0
性别_1,0.0005462479576373989,0.0
年龄组_3,0.0004092710843685683,0.0
饮酒史_1,0.00019741981286516702,0.0016666666666667052
