feature,gini_importance,permutation_importance
TC（总胆固醇）,0.3075513700558232,0.15133333333333326
TG（甘油三酯）,0.30431095800530433,0.16499999999999995
血尿酸,0.18406632719112198,0.07133333333333329
LDL-C（低密度脂蛋白）,0.08090595009067189,0.04333333333333329
HDL-C（高密度脂蛋白）,0.04269952002727276,0.007333333333333303
气郁质,0.009757622743243908,0.0003333333333333299
空腹血糖,0.007257535073255853,0.0
血瘀质,0.007007059008893561,0.0023333333333333097
气虚质,0.006385272593542539,0.0
阳虚质,0.006183519920061784,0.0003333333333333299
IADL总分,0.00536020836071216,0.0
湿热质,0.004954274319298947,0.0
平和质,0.004949323813682147,0.0003333333333333299
ADL总分,0.004692307160679052,0.0
特禀质,0.00464419977907955,0.0
dominant_tizhi,0.004458485986554681,0.0006666666666666598
BMI,0.004296723391394712,0.0
活动量表总分（ADL总分+IADL总分）,0.004056612244478417,0.0
阴虚质,0.0021318424395510185,0.0
吸烟史_1,0.0016757827379578695,0.0
年龄组_3,0.0012291376085420873,0.0
性别_1,0.0006908860594299805,0.0
饮酒史_1,0.0005780406136651902,0.0
年龄组_5,0.00010038358492093289,0.0
年龄组_2,4.614692941374786e-05,0.0
年龄组_4,1.0510261447794516e-05,0.0
