feature,gini_importance,permutation_importance
TC（总胆固醇）,0.16192294231681217,0.11933333333333336
TG（甘油三酯）,0.1475090310222905,0.12166666666666667
血尿酸,0.08670064267764031,0.03266666666666671
气郁质_x_TG（甘油三酯）,0.043121126362595186,0.0076666666666667105
阴虚质_x_TG（甘油三酯）,0.036619975494745,0.0036666666666666957
tanshi_TG,0.03412172351019165,0.0016666666666667052
气虚质_x_TG（甘油三酯）,0.03404085640027154,2.2204460492503132e-17
气虚质_x_TC（总胆固醇）,0.027788155238534906,0.003666666666666707
LDL-C（低密度脂蛋白）,0.027460848878725286,0.00933333333333337
气郁质_x_TC（总胆固醇）,0.026152396553785838,0.001666666666666694
血瘀质_x_TC（总胆固醇）,0.02373927756885137,0.003666666666666707
血瘀质_x_TG（甘油三酯）,0.023347068150155196,0.002333333333333376
湿热质_x_TG（甘油三酯）,0.02238931237651405,0.0026666666666666948
HDL-C（高密度脂蛋白）,0.02194492177942393,0.006333333333333369
平和质_x_TG（甘油三酯）,0.020439191561596397,0.000333333333333341
湿热质_x_TC（总胆固醇）,0.019913587598825024,0.002000000000000046
阳虚质_x_TC（总胆固醇）,0.019719376931755538,0.0016666666666667052
阳虚质_x_TG（甘油三酯）,0.018335509046333565,0.0006666666666666932
特禀质_x_TC（总胆固醇）,0.013582422657025474,0.002666666666666706
气郁质_x_血尿酸,0.013363831611924061,0.0
特禀质_x_TG（甘油三酯）,0.013250454039860003,0.001000000000000023
气虚质_x_血尿酸,0.010730971031139347,0.000666666666666682
阳虚质_x_血尿酸,0.009855473575801492,0.001333333333333353
tanshi_TC,0.00858640577628337,0.000666666666666682
阴虚质_x_TC（总胆固醇）,0.00768094738852969,0.0
平和质_x_TC（总胆固醇）,0.00706410861401543,0.0
湿热质_x_HDL-C（高密度脂蛋白）,0.004538503817561751,0.0
气郁质_x_BMI,0.004272551793119131,0.0
血瘀质_x_空腹血糖,0.003749474365414658,0.0
阴虚质_x_HDL-C（高密度脂蛋白）,0.00351924616240818,0.0
湿热质_x_血尿酸,0.003482214103578272,0.0
阴虚质_x_LDL-C（低密度脂蛋白）,0.0032417999139055438,0.0
特禀质_x_血尿酸,0.0030380557580538415,0.0
tanshi_LDL-C,0.0029924295860079713,0.0
气虚质_x_HDL-C（高密度脂蛋白）,0.002974726300325864,0.0
阴虚质_x_血尿酸,0.0026006913886915924,0.0
阳虚质_x_HDL-C（高密度脂蛋白）,0.0025785614899776444,0.0
气郁质_x_HDL-C（高密度脂蛋白）,0.002548019829873048,0.0
特禀质_x_HDL-C（高密度脂蛋白）,0.002542548343774062,0.0
血瘀质_x_BMI,0.0024159580201727334,0.0
血瘀质_x_血尿酸,0.002285194918402937,0.0
tanshi_血尿酸,0.002249653602274302,0.0
气虚质_x_LDL-C（低密度脂蛋白）,0.002239962144503475,0.0
痰湿质,0.00220175718291903,0.0
tanshi_HDL-C,0.001944653854009359,0.0
平和质_x_BMI,0.0019231426143616764,0.0
气虚质_x_空腹血糖,0.0019190428758856023,0.0
dominant_tizhi,0.0018802717930093964,0.0
阴虚质_x_BMI,0.001872957794721245,0.0
血瘀质_x_HDL-C（高密度脂蛋白）,0.0018552813736790576,0.0
特禀质_x_BMI,0.0018271034916531774,0.0
tanshi_BMI,0.0018170490215513302,0.0
阴虚质,0.0018068284573738687,0.0
气郁质_x_LDL-C（低密度脂蛋白）,0.0017889539184127873,0.0
阳虚质_x_活动量表总分（ADL总分+IADL总分）,0.001777290408521601,0.0
气虚质_x_活动量表总分（ADL总分+IADL总分）,0.0017360862901855268,0.0
空腹血糖,0.0017324261649335872,0.0
ADL总分,0.0016952829683888092,0.0
血瘀质_x_LDL-C（低密度脂蛋白）,0.0016769977521076597,0.0
BMI,0.0016573306023566603,0.0
活动量表总分（ADL总分+IADL总分）,0.0016325678570132491,0.0
血瘀质,0.0015926771151652166,0.0
湿热质_x_LDL-C（低密度脂蛋白）,0.0015782094056048328,0.0
气虚质,0.0015673787322951923,0.0
平和质_x_HDL-C（高密度脂蛋白）,0.0015580884960939697,0.0
阴虚质_x_活动量表总分（ADL总分+IADL总分）,0.0015456616315020686,0.0
气虚质_x_BMI,0.0015135794252316534,0.0
平和质_x_血尿酸,0.001482154066505486,0.0
湿热质,0.00147184724188505,0.0
湿热质_x_活动量表总分（ADL总分+IADL总分）,0.0014662031261225416,0.0
IADL总分,0.001374079262709933,0.0
平和质,0.0013281868347037357,0.0
阴虚质_x_空腹血糖,0.0012793625056177376,0.0
湿热质_x_BMI,0.0012548388213256207,0.0
气郁质,0.0012411903369067832,0.0
气郁质_x_活动量表总分（ADL总分+IADL总分）,0.0012364000629328676,0.0
平和质_x_LDL-C（低密度脂蛋白）,0.001152190768392263,0.0
tanshi_空腹血糖,0.0010974378957744222,0.0
阳虚质_x_LDL-C（低密度脂蛋白）,0.0010475732592776655,0.0
tanshi_activity,0.001045826725500719,0.0
血瘀质_x_活动量表总分（ADL总分+IADL总分）,0.0009892879254540363,0.0
阳虚质_x_BMI,0.0009743010832315136,0.0
湿热质_x_空腹血糖,0.0009664981263692876,0.0
特禀质_x_活动量表总分（ADL总分+IADL总分）,0.0009387052379763067,0.0
特禀质_x_空腹血糖,0.0008860778164903209,0.0
阳虚质_x_空腹血糖,0.0008719144609147924,0.0
平和质_x_空腹血糖,0.0007542204740165763,0.0
年龄组_3,0.0007138598613110553,0.0
阳虚质,0.0006939776723656264,0.0
气郁质_x_空腹血糖,0.0006754640925789371,0.0
特禀质,0.000518566641591825,0.0
平和质_x_活动量表总分（ADL总分+IADL总分）,0.00046954984623372685,0.0
特禀质_x_LDL-C（低密度脂蛋白）,0.00036264588826654195,0.0
吸烟史_1,0.0003510195013290399,0.0
年龄组_4,0.0002222129328641741,0.0
饮酒史_1,0.00019119817629040435,0.0
性别_1,7.8689791439642e-05,0.0
年龄组_2,7.037951262484043e-05,0.0
年龄组_5,4.337112234864704e-05,0.0
