feature,gini_importance,permutation_importance
TG（甘油三酯）,0.27893519108532505,0.16499999999999998
TC（总胆固醇）,0.23914463189518403,0.16199999999999998
血尿酸,0.17209274742610378,0.06833333333333333
tanshi_TG,0.07181908289892013,0.0006666666666666598
LDL-C（低密度脂蛋白）,0.05273910764823658,0.004666666666666675
HDL-C（高密度脂蛋白）,0.037369622452779055,0.0033333333333333214
tanshi_TC,0.030702004932737767,0.0009999999999999898
tanshi_血尿酸,0.020396537622150185,0.0006666666666666598
tanshi_HDL-C,0.009428377252191698,0.0
tanshi_BMI,0.006999967203633942,0.0
气郁质,0.006800704304983721,0.0009999999999999898
tanshi_空腹血糖,0.006675241007421408,0.0
血瘀质,0.0060574540448810645,0.0
BMI,0.005850444549864476,0.0
tanshi_LDL-C,0.005798717549020997,0.0
空腹血糖,0.005692893156603201,0.0006666666666666598
tanshi_activity,0.0050752705735768846,0.0
痰湿质,0.004775845909920755,0.0
阳虚质,0.003979194639446481,0.0
气虚质,0.003898398678884865,0.0
IADL总分,0.003413227820810604,0.0
平和质,0.003346397508403273,0.0
湿热质,0.003141991040992336,0.0
活动量表总分（ADL总分+IADL总分）,0.0030036147746638417,0.0
dominant_tizhi,0.002577538849411341,0.0
阴虚质,0.002496826524797531,0.0
ADL总分,0.0021398176857853417,0.0
特禀质,0.001874769084309735,0.0
年龄组_3,0.0012676533561197677,0.0
吸烟史_1,0.0006913649698914867,0.0
饮酒史_1,0.0006571432077242586,0.0
性别_1,0.000601317407346733,0.0
年龄组_4,0.0003064473855149932,0.0
年龄组_2,0.00023264961950658945,0.0
年龄组_5,1.7805932856168932e-05,0.0
