feature,gini_importance,permutation_importance
血尿酸,0.2548423498555081,0.10800000000000005
tanshi_TG,0.14109434845521046,0.08366666666666671
LDL-C（低密度脂蛋白）,0.10002783000534236,0.05166666666666671
tanshi_TC,0.07602930633001087,0.04666666666666671
HDL-C（高密度脂蛋白）,0.06823873820832345,0.04033333333333335
tanshi_血尿酸,0.04572255598922485,0.012333333333333385
tanshi_HDL-C,0.03093802268850976,0.01600000000000006
气郁质,0.022351808435402507,-0.0016666666666666275
tanshi_空腹血糖,0.02015091665888659,0.002000000000000035
tanshi_LDL-C,0.020125965980089523,0.003000000000000047
tanshi_activity,0.01798252748206296,0.0070000000000000505
空腹血糖,0.017645596489215102,0.0010000000000000453
tanshi_BMI,0.01689438025584199,0.011333333333333384
阳虚质,0.014128720674417032,-0.003999999999999971
痰湿质,0.014027032070735548,0.00966666666666669
血瘀质,0.013932955091136824,0.008666666666666711
BMI,0.013926122017768723,0.005000000000000049
气虚质,0.013492516242025647,0.002000000000000046
湿热质,0.012788604864970137,0.002333333333333365
平和质,0.012679264218648187,0.004333333333333378
ADL总分,0.010789279179032133,-0.0013333333333332975
活动量表总分（ADL总分+IADL总分）,0.01045281723355717,0.004000000000000059
特禀质,0.010165127650173451,0.00033333333333336325
dominant_tizhi,0.009642699018452742,0.003666666666666718
阴虚质,0.008732129701988367,0.004000000000000048
IADL总分,0.008517521297450086,0.002666666666666706
性别_1,0.0034570971905181266,0.0006666666666666932
年龄组_3,0.003230705911345093,0.0
饮酒史_1,0.0021785969312558663,0.00033333333333335213
年龄组_4,0.0020392618224368366,0.004333333333333389
吸烟史_1,0.0015321754892865661,-0.0013333333333332975
年龄组_5,0.0011876262449930014,0.001333333333333364
年龄组_2,0.0010554003161798633,0.0
