feature,gini_importance,permutation_importance
血尿酸,0.32854936225653825,0.10933333333333337
LDL-C（低密度脂蛋白）,0.13363219068745463,0.02100000000000003
HDL-C（高密度脂蛋白）,0.10749145710201274,0.041000000000000036
气郁质,0.04022905465244274,-0.008333333333333304
空腹血糖,0.03783692528384479,-0.006999999999999973
阳虚质,0.031720591955866524,-0.009666666666666646
湿热质,0.03019637470662233,0.0010000000000000343
血瘀质,0.029765731120206043,0.007000000000000029
气虚质,0.028238598564192138,0.009333333333333383
BMI,0.027546433725875404,0.005333333333333379
平和质,0.0274029341878929,-0.0009999999999999675
阴虚质,0.02654061252652912,0.003000000000000014
特禀质,0.025161578099103105,-0.0013333333333332865
ADL总分,0.02404734814992684,-0.0016666666666666275
活动量表总分（ADL总分+IADL总分）,0.023730230433933967,0.002000000000000024
IADL总分,0.022445186256918218,0.001666666666666694
dominant_tizhi,0.020089102790363265,0.011000000000000043
性别_1,0.009857209968894439,0.011666666666666714
年龄组_3,0.0060772318858547236,0.002666666666666706
吸烟史_1,0.005675880482418117,0.007333333333333381
年龄组_4,0.005165819853617738,-0.0026666666666666284
年龄组_5,0.0030783489612764624,-0.0013333333333333086
年龄组_2,0.0028399886155484125,-0.003999999999999959
饮酒史_1,0.002681807732667172,-0.0026666666666666393
