feature,importance,direction,diff
TG（甘油三酯）,0.2696687731283451,正相关,1.13907174277726
TC（总胆固醇）,0.2660477698775352,正相关,1.9754300776638702
血尿酸,0.157570060929823,正相关,54.75420938179559
tanshi_TG,0.06662816313136738,正相关,37.661213103448276
LDL-C（低密度脂蛋白）,0.04902974538673264,正相关,0.2249078285181727
HDL-C（高密度脂蛋白）,0.032467977069492976,负相关,-0.09831792482137303
tanshi_TC,0.03115523879149563,正相关,61.8839812239826
tanshi_血尿酸,0.01740825629621871,正相关,1630.0077042559806
tanshi_HDL-C,0.009431827950534188,负相关,-3.4121735010872882
气郁质,0.008658989566129646,正相关,2.3727865796831296
tanshi_空腹血糖,0.007612421791030326,负相关,-7.658255799937876
空腹血糖,0.007319141090660877,负相关,-0.16346415035725403
tanshi_LDL-C,0.007273197762974382,正相关,6.206282031686854
tanshi_activity,0.007021913521971627,正相关,14.431376203789796
tanshi_BMI,0.006145646766194398,负相关,-9.335902230506349
阳虚质,0.0053703971015836675,负相关,-0.6356011183597374
痰湿质,0.005074358291453047,负相关,-0.6962410686548637
血瘀质,0.0048892919048586884,负相关,-1.5723516620068345
BMI,0.004609836641911343,正相关,0.18600455420937934
气虚质,0.004515483551511625,正相关,2.1778191985088533
阴虚质,0.004171630445724238,正相关,1.172351662006836
IADL总分,0.0038562080873817063,正相关,0.449767008387699
湿热质,0.00368583734285677,负相关,-1.3863311587449516
平和质,0.0035968494533173546,负相关,-0.6392047219633383
特禀质,0.0035748285249508236,负相关,-0.5202236719478108
dominant_tizhi,0.0032163030777987937,正相关,0.4140416278347274
ADL总分,0.003171947665356353,正相关,0.746380863622246
活动量表总分（ADL总分+IADL总分）,0.0028823843160162466,正相关,1.196147872009945
年龄组_3,0.0010613627875675907,负相关,-0.08785337061199133
性别_1,0.000909494053783058,正相关,0.0028580304442373805
饮酒史_1,0.0005464327584799514,负相关,-0.05138241689965828
吸烟史_1,0.0005369996902149242,负相关,-0.09344516930723828
年龄组_4,0.00048361721360230375,正相关,0.012861136999068046
年龄组_5,0.00032465645568039824,正相关,0.017086051568810184
年龄组_2,8.29575754450074e-05,负相关,-0.008077042559801184
