feature,coefficient,abs_coef
TC（总胆固醇）,1.0279284843177066,1.0279284843177066
TG（甘油三酯）,0.9605831892172336,0.9605831892172336
tanshi_空腹血糖,-0.8004892501414427,0.8004892501414427
痰湿质,-0.7991452714357461,0.7991452714357461
空腹血糖,-0.7793797337022557,0.7793797337022557
ADL总分,-0.774632755761469,0.774632755761469
活动量表总分（ADL总分+IADL总分）,-0.7674278670747697,0.7674278670747697
BMI,-0.7576756595574502,0.7576756595574502
IADL总分,-0.7404169435023064,0.7404169435023064
tanshi_TG,-0.42164738276373565,0.42164738276373565
tanshi_TC,-0.2783034678205917,0.2783034678205917
血尿酸,-0.26425059253717675,0.26425059253717675
tanshi_HDL-C,-0.2613548603468052,0.2613548603468052
tanshi_activity,-0.2551401554987041,0.2551401554987041
tanshi_LDL-C,-0.20688744574720425,0.20688744574720425
tanshi_血尿酸,-0.10463885446748902,0.10463885446748902
LDL-C（低密度脂蛋白）,0.026096431001332663,0.026096431001332663
HDL-C（高密度脂蛋白）,-0.020372305348924622,0.020372305348924622
tanshi_BMI,-0.0011085868727325815,0.0011085868727325815
