特征,分箱区间,WOE,分数贡献
TG（甘油三酯）,"[0.0, 1.7)",0.3414,-0.70
TG（甘油三酯）,"[1.7, 2.3)",23.0259,-46.97
TG（甘油三酯）,"[2.3, inf)",23.0259,-46.97
TC（总胆固醇）,"[0.0, 5.2)",0.3240,-0.71
TC（总胆固醇）,"[5.2, 6.2)",0.6592,-1.44
TC（总胆固醇）,"[6.2, inf)",23.0259,-50.26
HDL-C（高密度脂蛋白）,"[0.0, 1.04)",23.0259,1.00
HDL-C（高密度脂蛋白）,"[1.04, 1.55)",1.1377,0.05
HDL-C（高密度脂蛋白）,"[1.55, inf)",1.1564,0.05
LDL-C（低密度脂蛋白）,"[0.0, 2.6)",1.0756,-0.06
LDL-C（低密度脂蛋白）,"[2.6, 3.4)",1.4165,-0.08
LDL-C（低密度脂蛋白）,"[3.4, inf)",23.0259,-1.28
空腹血糖,"[0.0, 6.1)",1.3479,2.23
空腹血糖,"[6.1, 7.0)",1.3705,2.27
空腹血糖,"[7.0, inf)",0.8473,1.40
血尿酸,"[0.0, 420.0)",0.7891,0.44
血尿酸,"[420.0, inf)",3.7257,2.09
ADL总分,"[0.0, 14.0)",1.0986,1.81
ADL总分,"[14.0, 20.0)",1.2217,2.01
ADL总分,"[20.0, inf)",1.3886,2.28
IADL总分,"[0.0, 8.0)",1.6094,2.53
IADL总分,"[8.0, 16.0)",0.6286,0.99
IADL总分,"[16.0, inf)",1.4018,2.20
活动量表总分（ADL总分+IADL总分）,"[0.0, 40.0)",1.0986,1.79
活动量表总分（ADL总分+IADL总分）,"[40.0, 60.0)",1.3697,2.23
活动量表总分（ADL总分+IADL总分）,"[60.0, inf)",1.4816,2.41
痰湿质,"[0.0, 40.0)",1.4062,2.39
痰湿质,"[40.0, 60.0)",1.2487,2.12
痰湿质,"[60.0, inf)",1.2212,2.07
BMI,"[0.0, 24.0)",1.3364,2.15
BMI,"[24.0, 28.0)",1.4491,2.33
BMI,"[28.0, inf)",0.6931,1.12
tanshi_BMI,"[0.0, 447.934)",1.3231,0.00
tanshi_BMI,"[447.934, 927.064)",1.4078,0.00
tanshi_BMI,"[927.064, 1832.87)",1.3177,0.00
tanshi_BMI,"[1832.87, inf)",-23.0259,-0.05
tanshi_activity,"[0.0, 1003.0)",1.2722,0.69
tanshi_activity,"[1003.0, 2100.0)",1.5491,0.84
tanshi_activity,"[2100.0, 4697.0)",1.2171,0.66
tanshi_activity,"[4697.0, inf)",23.0259,12.48
tanshi_TG,"[0.0, 28.173)",0.7711,0.69
tanshi_TG,"[28.173, 72.106)",1.1217,1.00
tanshi_TG,"[72.106, 249.121)",2.7500,2.46
tanshi_TG,"[249.121, inf)",23.0259,20.62
tanshi_TC,"[0.0, 109.44)",0.9985,0.59
tanshi_TC,"[109.44, 235.674)",1.2227,0.72
tanshi_TC,"[235.674, 574.982)",1.9459,1.15
tanshi_TC,"[574.982, inf)",23.0259,13.61
tanshi_HDL-C,"[0.0, 26.559)",1.4025,0.78
tanshi_HDL-C,"[26.559, 54.912)",1.4298,0.79
tanshi_HDL-C,"[54.912, 129.534)",1.1984,0.67
tanshi_HDL-C,"[129.534, inf)",23.0259,12.78
tanshi_LDL-C,"[0.0, 52.673)",1.1331,0.50
tanshi_LDL-C,"[52.673, 107.932)",1.5439,0.68
tanshi_LDL-C,"[107.932, 254.005)",1.3702,0.60
tanshi_LDL-C,"[254.005, inf)",23.0259,10.12
tanshi_血尿酸,"[0.0, 5460.0)",1.4078,0.31
tanshi_血尿酸,"[5460.0, 13790.0)",1.0531,0.23
tanshi_血尿酸,"[13790.0, 35035.0)",1.6043,0.36
tanshi_血尿酸,"[35035.0, inf)",23.0259,5.12
tanshi_空腹血糖,"[0.0, 99.012)",1.3810,2.35
tanshi_空腹血糖,"[99.012, 207.763)",1.4298,2.43
tanshi_空腹血糖,"[207.763, 489.709)",1.2171,2.07
tanshi_空腹血糖,"[489.709, inf)",23.0259,39.14
